Date,018_EWN_1d_actual_lnrts,018_EWN_1d_forecast_lnrts,018_EWN_1d_true_label,018_EWN_1d_forecast_label
2016-01-06,-0.017730169232574037,-0.0016678364481776953,-1.0,-1.0
2016-01-07,-0.012733408399921112,-0.002246925374493003,-1.0,-1.0
2016-01-08,-0.010662071339240275,-0.0018637480679899454,-1.0,-1.0
2016-01-11,0.007120617519887964,0.001029226346872747,1.0,1.0
2016-01-12,0.016274862219273534,-0.0022969620767980814,1.0,-1.0
2016-01-13,-0.02027389651311369,-0.0018965762574225664,-1.0,-1.0
2016-01-14,0.0119496722564078,-0.0006736319046467543,1.0,-1.0
2016-01-15,-0.03264321480903784,-0.00031430087983608246,-1.0,-1.0
2016-01-19,0.009049941567422665,-0.0010169369634240866,1.0,-1.0
2016-01-20,-0.009959532368693225,0.00013931561261415482,-1.0,1.0
2016-01-21,0.014005354002299169,0.0021842631977051497,1.0,1.0
2016-01-22,0.024812837989982895,-0.00048753106966614723,1.0,-1.0
2016-01-25,-0.013659485408277277,-0.0026663958560675383,-1.0,-1.0
2016-01-26,0.018026356139170804,-0.0006779807154089212,1.0,-1.0
2016-01-27,-0.008313297660761772,-0.002079074503853917,-1.0,-1.0
2016-01-28,0.004383964033930451,0.00193902722094208,1.0,1.0
2016-01-29,0.022064606113510715,0.0009834025986492634,1.0,1.0
2016-02-01,0.0012828621736761924,-0.002593309385702014,1.0,-1.0
2016-02-02,-0.025098720934270947,-0.0004213331267237663,-1.0,-1.0
2016-02-03,0.015220992358072226,-0.0006099329330027103,1.0,-1.0
2016-02-04,0.00430668948595925,0.001166310510598123,1.0,1.0
2016-02-05,-0.019527681844031468,-0.0016049768310040236,-1.0,-1.0
2016-02-08,-0.030703190988804287,0.0006529421079903841,-1.0,1.0
2016-02-09,-0.007711609649835628,0.0008000874659046531,-1.0,1.0
2016-02-10,-0.007771254661259868,-0.0007663434371352196,-1.0,-1.0
2016-02-11,-0.010611546348624287,-0.0030693744774907827,-1.0,-1.0
2016-02-12,0.0073937304578202126,0.0005712076090276241,1.0,1.0
2016-02-16,0.024557959455535752,-0.0003430456854403019,1.0,-1.0
2016-02-17,0.018692101864139898,-0.0023244929034262896,1.0,-1.0
2016-02-18,-0.00619195999422734,-0.003215742064639926,-1.0,-1.0
2016-02-19,0.0,-0.0005864093545824289,0.0,-1.0
2016-02-22,0.01103028056773786,0.0010734106181189418,1.0,1.0
2016-02-23,-0.01147403070063914,0.00015122490003705025,-1.0,1.0
2016-02-24,-0.0008880914456064158,-0.0004096576012670994,-1.0,-1.0
2016-02-25,0.009725940604811328,-0.004980801604688168,1.0,-1.0
2016-02-26,0.0,-0.0029604944866150618,0.0,-1.0
2016-02-29,0.00043984647391294917,-0.001334392698481679,1.0,-1.0
2016-03-01,0.03457570338816886,-0.0033649669494479895,1.0,-1.0
2016-03-02,-0.006820305620118525,-0.00585255678743124,-1.0,-1.0
2016-03-03,0.005119551991651245,0.0003540052566677332,1.0,1.0
2016-03-04,0.006362680220767948,0.0006310378666967154,1.0,1.0
2016-03-07,-0.0021163396443082618,-0.0017345172818750143,-1.0,-1.0
2016-03-08,-0.006376247489677047,0.00043184496462345123,-1.0,1.0
2016-03-09,0.004679821441342996,0.0012558751041069627,1.0,1.0
2016-03-10,0.006768198150085068,-0.00017972919158637524,1.0,-1.0
2016-03-11,0.024569251677911613,-0.003252631751820445,1.0,-1.0
2016-03-14,-0.0032962664772381543,-0.0019087225664407015,-1.0,-1.0
2016-03-15,-0.001238890438328798,-0.0018581843469291925,-1.0,-1.0
2016-03-16,0.010686400706652261,-0.002539386274293065,1.0,-1.0
2016-03-17,0.005300805423361307,-0.0029967708978801966,1.0,-1.0
2016-03-18,0.0016253412050131184,-0.002426910912618041,1.0,-1.0
2016-03-21,-0.0036606973276988464,-0.002182346535846591,-1.0,-1.0
2016-03-22,-0.0036742748952197815,-0.0019774537067860365,-1.0,-1.0
2016-03-23,-0.003687782299049506,-0.0018112233374267817,-1.0,-1.0
2016-03-24,-0.007003097605086629,-0.0029857356566935778,-1.0,-1.0
2016-03-28,0.0053597267481712485,-0.0007462126668542624,1.0,-1.0
2016-03-29,0.01347780640335966,0.0007770926458761096,1.0,1.0
2016-03-30,0.009689254183960189,-0.002563893562182784,1.0,-1.0
2016-03-31,-0.011719693382547898,-0.005534647963941097,-1.0,-1.0
2016-04-01,-0.004481573804146736,-0.0030979143921285868,-1.0,-1.0
2016-04-04,0.0,-0.003102693008258939,0.0,-1.0
2016-04-05,-0.016468033658788017,-0.004687967710196972,-1.0,-1.0
2016-04-06,0.011145611115078292,-0.003191516036167741,1.0,-1.0
2016-04-07,-0.01405558466871366,-0.0005279544275254011,-1.0,-1.0
2016-04-08,0.011589428922761618,-0.000577833503484726,1.0,-1.0
2016-04-11,0.0012338808602087772,-0.00413696002215147,1.0,-1.0
2016-04-12,0.00859433208001249,0.0003621277865022421,1.0,1.0
2016-04-13,0.009328635635141698,-0.003100709756836295,1.0,-1.0
2016-04-14,-0.0016161054468586994,-0.0016844060737639666,-1.0,-1.0
2016-04-15,0.0024233685921973436,-0.0024960108567029238,1.0,-1.0
2016-04-18,0.005631542081180922,-0.002262613968923688,1.0,-1.0
2016-04-19,0.017101241870869935,-0.0036668095272034407,1.0,-1.0
2016-04-20,-0.008315281062090377,-0.0008685674984008074,-1.0,-1.0
2016-04-21,-0.011597788489114464,-0.0005390250589698553,-1.0,-1.0
2016-04-22,-0.003223264514294278,-0.0019699663389474154,-1.0,-1.0
2016-04-25,-0.004448947582179783,-0.0035898343194276094,-1.0,-1.0
2016-04-26,0.0024291291034307322,-0.0019125340040773153,1.0,-1.0
2016-04-27,0.007252266210737809,-0.0032684251200407743,1.0,-1.0
2016-04-28,-0.004022537140624344,-0.0034419752191752195,-1.0,-1.0
2016-04-29,-0.0036341743732222795,-0.0011980801355093718,-1.0,-1.0
2016-05-02,0.010062464861408528,-0.0035388485994189978,1.0,-1.0
2016-05-03,-0.01655597786372347,-0.0024077470880001783,-1.0,-1.0
2016-05-04,-0.009819999934043876,-0.003058918984606862,-1.0,-1.0
2016-05-05,-0.00412032448190455,-0.0009027440100908279,-1.0,-1.0
2016-05-06,0.00576369533882004,-0.0018781933467835188,1.0,-1.0
2016-05-09,0.0004105064348302579,-0.0029705215711146593,1.0,-1.0
2016-05-10,0.010206244868125373,-0.004478290677070618,1.0,-1.0
2016-05-11,-0.0052943287592457896,-0.0009985615033656359,-1.0,-1.0
2016-05-12,-0.00820009628722379,-0.0011640072334557772,-1.0,-1.0
2016-05-13,-0.011177910925199652,-0.0037333073560148478,-1.0,-1.0
2016-05-16,0.01200094877122204,-0.0030706662219017744,1.0,-1.0
2016-05-17,-0.013667687398177968,-0.0028143173549324274,-1.0,-1.0
2016-05-18,0.0037461548820556445,0.000878766062669456,1.0,1.0
2016-05-19,-0.005833340250708057,-0.0026099521201103926,-1.0,-1.0
2016-05-20,0.010806411059235322,-0.0032569284085184336,1.0,-1.0
2016-05-23,-0.00041347568351190697,-0.0027548179496079683,-1.0,-1.0
2016-05-24,0.018845250676063054,-0.0015855988021939993,1.0,-1.0
2016-05-25,0.008486663101450395,-0.0028902168851345778,1.0,-1.0
2016-05-26,0.00641797583016851,-0.004094809293746948,1.0,-1.0
2016-05-27,0.0003997565259545092,-0.002606400055810809,1.0,-1.0
2016-05-31,-0.004406219251747839,-0.0025385303888469934,-1.0,-1.0
2016-06-01,0.005205336276655776,-0.0033091602381318808,1.0,-1.0
2016-06-02,0.0015960305534351796,-0.002884492976590991,1.0,-1.0
2016-06-03,0.005566647295792793,-0.0028801572043448687,1.0,-1.0
2016-06-06,0.0,-0.0026564619038254023,0.0,-1.0
2016-06-07,0.005141476267265749,-0.0032634504605084658,1.0,-1.0
2016-06-08,-0.0003945515498923486,-0.001794107025489211,-1.0,-1.0
2016-06-09,-0.01470918549569546,-0.0007364582270383835,-1.0,-1.0
2016-06-10,-0.034633630981119025,-0.0030971711967140436,-1.0,-1.0
2016-06-13,-0.017988408055823895,-0.001522373640909791,-1.0,-1.0
2016-06-14,-0.015741691591415235,-0.0020928906742483377,-1.0,-1.0
2016-06-15,-0.004297391205081897,4.8988498747348785e-05,-1.0,1.0
2016-06-16,0.0072946722874344,0.0003239505458623171,1.0,1.0
2016-06-17,0.0025619354383222552,0.0009392640786245465,1.0,1.0
2016-06-20,0.022766507363025764,-0.0015827312599867582,1.0,-1.0
2016-06-21,0.010779572514589806,-0.004690880887210369,1.0,-1.0
2016-06-22,0.001087132420313921,-0.0010845172218978405,1.0,-1.0
2016-06-23,0.029238212890207626,-0.0018141188193112612,1.0,-1.0
2016-06-24,-0.10023292593600547,-0.0038483410608023405,-1.0,-1.0
2016-06-27,-0.025904702645266026,0.00092160957865417,-1.0,1.0
2016-06-28,0.021858814478624762,-0.0020460907835513353,1.0,-1.0
2016-06-29,0.01918411397598083,-0.0031785399187356234,1.0,-1.0
2016-06-30,0.022718295192614757,-0.001797909615561366,1.0,-1.0
2016-07-01,-0.001729354310529982,-0.002747094025835395,-1.0,-1.0
2016-07-05,-0.028084260560173758,-0.0007949841674417257,-1.0,-1.0
2016-07-06,-0.00669799804984822,-0.0034921232145279646,-1.0,-1.0
2016-07-07,-0.0013449080814023331,-0.0023603651206940413,-1.0,-1.0
2016-07-08,0.021744727901782276,-0.001373049570247531,1.0,-1.0
2016-07-11,0.012650088631149994,-0.0029352440033107996,1.0,-1.0
2016-07-12,0.010778310239064524,6.41432125121355e-05,1.0,1.0
2016-07-13,0.00342461316196734,-0.004750926047563553,1.0,-1.0
2016-07-14,0.008086916557658749,-0.004205202683806419,1.0,-1.0
2016-07-15,-0.005526120347051652,-0.0018886711914092302,-1.0,-1.0
2016-07-18,0.004253576284943936,0.0027990301605314016,1.0,1.0
2016-07-19,-0.0034014036311397797,-0.0023471785243600607,-1.0,-1.0
2016-07-20,0.008481805836653571,-0.004034531302750111,1.0,-1.0
2016-07-21,-0.002960336298962985,-0.0010011252015829086,-1.0,-1.0
2016-07-22,0.0029603362989630753,0.0026436448097229004,1.0,1.0
2016-07-25,0.002530641206537148,-0.0037335797678679228,1.0,-1.0
2016-07-26,0.005041978765751484,-0.0018458857666701078,1.0,-1.0
2016-07-27,0.0,-0.0012621560599654913,0.0,-1.0
2016-07-28,0.0,-0.002359730890020728,0.0,-1.0
2016-07-29,0.009178300196825447,-0.0027413268107920885,1.0,-1.0
2016-08-01,-0.008759201814091443,-0.00016218982636928558,-1.0,-1.0
2016-08-02,-0.00588238459948433,-0.002162640681490302,-1.0,-1.0
2016-08-03,0.0008424374767773196,-0.004140714183449745,1.0,-1.0
2016-08-04,0.0033627568260289078,-0.0046711573377251625,1.0,-1.0
2016-08-05,0.0071085632753383815,-0.004255473613739014,1.0,-1.0
2016-08-08,0.002912386148793135,-0.0028822741005569696,1.0,-1.0
2016-08-09,0.011976251385589987,-0.0039104288443923,1.0,-1.0
2016-08-10,0.006138716116026947,-0.000546362018212676,1.0,-1.0
2016-08-11,0.006101303656362806,-0.0026689341757446527,1.0,-1.0
2016-08-12,-0.0020295789385074217,0.0005685200449079275,-1.0,1.0
2016-08-15,0.004459648808581241,-0.00207307911477983,1.0,-1.0
2016-08-16,-0.003241407209553019,-0.0051880041137337685,-1.0,-1.0
2016-08-17,0.00040575095327225944,-0.005193435586988926,1.0,-1.0
2016-08-18,0.0076783993385764245,-0.001088452059775591,1.0,-1.0
2016-08-19,-0.00524738635163997,-0.0012629281263798475,-1.0,-1.0
2016-08-22,0.0008090814132989614,1.847953535616398e-05,1.0,1.0
2016-08-23,0.005645273328053976,-0.003372078062966466,1.0,-1.0
2016-08-24,-0.004836804576377361,-0.005102920345962048,-1.0,-1.0
2016-08-25,-0.0012129068956311688,-0.003268265398219228,-1.0,-1.0
2016-08-26,-0.002835656256280791,-0.0003871272783726454,-1.0,-1.0
2016-08-29,0.005260042058212569,-0.0007293620146811008,1.0,-1.0
2016-08-30,0.0008066726396286593,-0.002336073899641633,1.0,-1.0
2016-08-31,0.0016116846407351754,-0.004271923564374447,1.0,-1.0
2016-09-01,0.006820428449541796,-0.0018155074212700129,1.0,-1.0
2016-09-02,0.013897419512422802,0.003138159401714802,1.0,1.0
2016-09-06,0.00039423347765371255,-0.0018741951789706945,1.0,-1.0
2016-09-07,-0.002367776047317584,-0.0016425035428255796,-1.0,-1.0
2016-09-08,-0.005546779185201534,-0.003297636518254876,-1.0,-1.0
2016-09-09,-0.02534843379879059,-0.003864523721858859,-1.0,-1.0
2016-09-12,0.00932888706295146,-0.0017140957061201334,1.0,-1.0
2016-09-13,-0.017101478704347937,-0.0009847367182374,-1.0,-1.0
2016-09-14,-0.00041075098523550845,0.0005181015003472567,-1.0,1.0
2016-09-15,0.008183342626631755,-0.001953314756974578,1.0,-1.0
2016-09-16,-0.016020051918721773,-0.003182171145454049,-1.0,-1.0
2016-09-19,0.00495676085369052,-0.0009312548208981752,1.0,-1.0
2016-09-20,0.004521983100853275,-0.0033313001040369272,1.0,-1.0
2016-09-21,0.014658268134761924,-0.0029759167227894068,1.0,-1.0
2016-09-22,0.011254207271387623,-0.0036403501871973276,1.0,-1.0
2016-09-23,-0.0032025609095351496,-0.004520292393863201,-1.0,-1.0
2016-09-26,-0.010479790748881326,-0.001758489990606904,-1.0,-1.0
2016-09-27,0.0012147054564960772,-0.0028323109727352858,1.0,-1.0
2016-09-28,0.010066625959904431,-0.003028817242011428,1.0,-1.0
2016-09-29,-0.013309388801552685,-0.003927850164473057,-1.0,-1.0
2016-09-30,0.01730776972426908,-0.0034378364216536283,1.0,-1.0
2016-10-03,-0.0015973606807003174,-0.003843647660687566,-1.0,-1.0
2016-10-04,0.003988892967015415,-0.0022991334553807974,1.0,-1.0
2016-10-05,0.004369303793800543,-0.0018240583594888449,1.0,-1.0
2016-10-06,-0.002778337813760464,-0.0017490994650870562,-1.0,-1.0
2016-10-07,-0.011191233532403097,-0.0026508334558457136,-1.0,-1.0
2016-10-10,0.0008035553253720466,-0.0006858741398900747,1.0,-1.0
2016-10-11,-0.01497091829468979,-0.0014778722543269396,-1.0,-1.0
2016-10-12,-0.0008156389043471812,-0.0021631268318742514,-1.0,-1.0
2016-10-13,-0.009840082047990346,-0.0039537809789180756,-1.0,-1.0
2016-10-14,0.0012352130628404613,-4.6351226046681404e-05,1.0,-1.0
2016-10-17,-0.0012352130628404832,-0.00163142173551023,-1.0,-1.0
2016-10-18,0.009840082047990481,-0.0014890271704643965,1.0,-1.0
2016-10-19,0.0,-0.002765040146186948,0.0,-1.0
2016-10-20,0.002851872070577953,-0.0022942933719605207,1.0,-1.0
2016-10-21,-0.002851872070577982,-0.0028758167754858732,-1.0,-1.0
2016-10-24,0.005289966316883563,-0.0002129885833710432,1.0,-1.0
2016-10-25,-0.003252073334000006,0.0004656892269849777,-1.0,1.0
2016-10-26,-0.007355991930020488,-0.002269279444590211,-1.0,-1.0
2016-10-27,0.0,-0.003710745135322213,0.0,-1.0
2016-10-28,0.00450179423287,-0.002423309488222003,1.0,-1.0
2016-10-31,-0.00040844425451416896,-0.0008575054816901684,-1.0,-1.0
2016-11-01,-0.004913967147245668,-6.09720591455698e-05,-1.0,-1.0
2016-11-02,-0.006176759868879259,-0.0027093610260635614,-1.0,-1.0
2016-11-03,-0.006215021648006273,-0.0032527016010135412,-1.0,-1.0
2016-11-04,-0.004999961933318783,-0.004580033011734486,-1.0,-1.0
2016-11-07,0.01410231290621109,-0.0017321368213742971,1.0,-1.0
2016-11-08,0.005339859193713247,-0.0003989518154412508,1.0,-1.0
2016-11-09,-0.004105154540125228,-0.0029308500234037638,-1.0,-1.0
2016-11-10,-0.012417342913766491,-0.0026105635333806276,-1.0,-1.0
2016-11-11,-0.00962551870119118,-0.002279602224007249,-1.0,-1.0
2016-11-14,-0.006751029350914232,0.0007518917554989457,-1.0,1.0
2016-11-15,0.00843170009694995,-0.0010463488288223743,1.0,-1.0
2016-11-16,-0.012249292669091015,0.0006167220417410135,-1.0,1.0
2016-11-17,0.003394144261389219,-0.0033077008556574583,1.0,-1.0
2016-11-18,-0.007226410452240507,-0.00435633584856987,-1.0,-1.0
2016-11-21,0.008919085557694897,0.00036054104566574097,1.0,1.0
2016-11-22,0.005902310541737,0.0020463354885578156,1.0,1.0
2016-11-23,-0.011414198206337413,-0.0010642821434885263,-1.0,-1.0
2016-11-25,0.007623937469826082,-0.00020208675414323807,1.0,-1.0
2016-11-28,-0.01145783610912622,-0.002894393866881728,-1.0,-1.0
2016-11-29,0.006805589354003049,-0.0016053121071308851,1.0,-1.0
2016-11-30,-0.002546622416946059,-0.003816407872363925,-1.0,-1.0
2016-12-01,-0.010252194421050007,-0.000334383687004447,-1.0,-1.0
2016-12-02,-0.005165695334985796,-0.0018787088338285685,-1.0,-1.0
2016-12-05,0.02134999511171695,-0.005643741227686405,1.0,-1.0
2016-12-06,0.00841409355969368,-0.0032462331000715494,1.0,-1.0
2016-12-07,0.01000428271361359,-9.686872363090515e-05,1.0,-1.0
2016-12-08,-0.007911807143136803,5.505140870809555e-05,-1.0,1.0
2016-12-09,0.004588083371453521,0.0007561368402093649,1.0,1.0
2016-12-12,0.0020786428721610204,-0.0025871105026453733,1.0,-1.0
2016-12-13,0.007447210842608106,-0.0036451632622629404,1.0,-1.0
2016-12-14,-0.011608740840697067,-0.0030236507300287485,-1.0,-1.0
2016-12-15,-0.0025051962455254883,-0.0014025860000401735,-1.0,-1.0
2016-12-16,0.0025051962455254666,-0.0014696421567350626,1.0,-1.0
2016-12-19,0.0037460873114506677,-0.0019837755244225264,1.0,-1.0
2016-12-20,0.0053864071341492336,-0.00277288188226521,1.0,-1.0
2016-12-21,0.004135208916360677,-0.0019748134072870016,1.0,-1.0
2016-12-22,-0.0012513348935918656,-0.0033135765697807074,-1.0,-1.0
2016-12-23,0.004995887820850048,-0.002898045117035508,1.0,-1.0
2016-12-27,-0.0004153509916374689,-0.004012489691376686,-1.0,-1.0
2016-12-28,-0.007087871605726624,-0.0014554092194885015,-1.0,-1.0
2016-12-29,0.005840782527881278,-0.0003776766825467348,1.0,-1.0
2016-12-30,0.004565202285843581,-0.00090973568148911,1.0,-1.0
