Date,029_XLB_1d_actual_lnrts,029_XLB_1d_forecast_lnrts,029_XLB_1d_true_label,029_XLB_1d_forecast_label
2016-01-06,-0.026567043116365315,-0.007312946952879429,-1.0,-1.0
2016-01-07,-0.027539204148037677,-0.0032427592668682337,-1.0,-1.0
2016-01-08,-0.010182565615275271,0.002982947276905179,-1.0,1.0
2016-01-11,-0.017120164956345038,-0.0015348301967605948,-1.0,-1.0
2016-01-12,0.0015223017745551255,-0.007563146762549877,1.0,-1.0
2016-01-13,-0.023343338199652428,-0.005048315040767193,-1.0,-1.0
2016-01-14,0.013405679749527688,-0.0003528193337842822,1.0,-1.0
2016-01-15,-0.020699336294980213,0.0024523877073079348,-1.0,1.0
2016-01-19,-0.012363579837029869,-0.005894409492611885,-1.0,-1.0
2016-01-20,-0.007439098277249666,-0.005020773969590664,-1.0,-1.0
2016-01-21,0.008761672584502974,0.003753715893253684,1.0,1.0
2016-01-22,0.017815414534695564,0.004512816667556763,1.0,1.0
2016-01-25,-0.032460921323330776,0.003580216085538268,-1.0,1.0
2016-01-26,0.017021681484283506,0.004317887127399445,1.0,1.0
2016-01-27,-0.007942950315258782,0.0023384930100291967,-1.0,1.0
2016-01-28,0.0015936014151580712,0.00043934653513133526,1.0,1.0
2016-01-29,0.02851754709986036,0.000688688363879919,1.0,1.0
2016-02-01,0.00411835485599314,0.002305877162143588,1.0,1.0
2016-02-02,-0.006701210238942175,0.0018330339808017015,-1.0,1.0
2016-02-03,0.03306527499551615,0.0023179107811301947,1.0,1.0
2016-02-04,0.027392169562228896,-0.0026814937591552734,1.0,-1.0
2016-02-05,-0.011507109943732783,-0.0049215154722332954,-1.0,-1.0
2016-02-08,-0.02670146334488729,0.00010085874237120152,-1.0,1.0
2016-02-09,0.012316251547826914,-0.0014325344236567616,1.0,-1.0
2016-02-10,-0.00953806861464542,-0.004952407442033291,-1.0,-1.0
2016-02-11,-0.021928459301487492,-0.0025639799423515797,-1.0,-1.0
2016-02-12,0.029215639945952027,0.00040422682650387287,1.0,1.0
2016-02-16,0.015157561484839993,-0.002098479075357318,1.0,-1.0
2016-02-17,0.01953658334574172,-0.006596777588129044,1.0,-1.0
2016-02-18,-0.002906280051364045,-0.004616483114659786,-1.0,-1.0
2016-02-19,-0.011710150938057691,-0.0008096814854070544,-1.0,-1.0
2016-02-22,0.01896012484771199,-0.0022126538679003716,1.0,-1.0
2016-02-23,-0.02486711721597234,-0.0024177287705242634,-1.0,-1.0
2016-02-24,0.010314298965647001,-0.004357470199465752,1.0,-1.0
2016-02-25,0.012865760729313029,-0.005614568013697863,1.0,-1.0
2016-02-26,0.014368311188940953,-0.004352200776338577,1.0,-1.0
2016-02-29,-0.0062009727566621825,-0.0011047881562262774,-1.0,-1.0
2016-03-01,0.025275884627263517,-0.009550634771585464,1.0,-1.0
2016-03-02,-0.003973363589136792,-0.01059768721461296,-1.0,-1.0
2016-03-03,0.006070645297518395,-0.0006410632049664855,1.0,-1.0
2016-03-04,0.011571480845758523,-0.008686652407050133,1.0,-1.0
2016-03-07,0.011439111921168291,-0.00989625696092844,1.0,-1.0
2016-03-08,-0.019757008321755583,-0.005339496769011021,-1.0,-1.0
2016-03-09,0.00624486386282236,-0.0006777105154469609,1.0,-1.0
2016-03-10,0.0052890555983785914,-0.010655298829078674,1.0,-1.0
2016-03-11,0.01818243103054064,-0.006925027817487717,1.0,-1.0
2016-03-14,-0.006779746073545296,-0.003083233255892992,-1.0,-1.0
2016-03-15,0.0022649094553860013,-0.008536487817764282,1.0,-1.0
2016-03-16,0.008336380309268414,-0.010678481310606003,1.0,-1.0
2016-03-17,0.01823078550078368,-0.007874681614339352,1.0,-1.0
2016-03-18,0.004125634167570903,-0.008741423487663269,1.0,-1.0
2016-03-21,0.004612833309816522,-0.009679948911070824,1.0,-1.0
2016-03-22,-0.011461373694646726,-0.011648091487586498,-1.0,-1.0
2016-03-23,-0.012491898393367949,-0.011687482707202435,-1.0,-1.0
2016-03-24,0.0,-0.01073053851723671,0.0,-1.0
2016-03-28,0.004256071069753384,-0.0053387959487736225,1.0,-1.0
2016-03-29,0.005572179141001685,-0.006143063306808472,1.0,-1.0
2016-03-30,0.00443547250707773,-0.004633129574358463,1.0,-1.0
2016-03-31,-0.008444410348171442,-0.00783368106931448,-1.0,-1.0
2016-04-01,0.009550239775592141,-0.005775561090558767,1.0,-1.0
2016-04-04,-0.01312732614382503,-0.007359259761869907,-1.0,-1.0
2016-04-05,-0.0062907463160261235,-0.008815450593829155,-1.0,-1.0
2016-04-06,0.011428725906538647,-0.007366173900663853,1.0,-1.0
2016-04-07,-0.01458892009619538,-0.004242592491209507,-1.0,-1.0
2016-04-08,0.0065351368978112745,-0.005193042103201151,1.0,-1.0
2016-04-11,0.004482378060059575,-0.011922981590032578,1.0,-1.0
2016-04-12,0.01376881689315225,-0.007294338196516037,1.0,-1.0
2016-04-13,0.009876050119909946,-0.0038953826297074556,1.0,-1.0
2016-04-14,0.0006549692682365311,-0.006583156064152718,1.0,-1.0
2016-04-15,0.004572745343476914,-0.012364101596176624,1.0,-1.0
2016-04-18,0.004551819074544176,-0.0034969213884323835,1.0,-1.0
2016-04-19,0.021184009779189206,-0.00754911545664072,1.0,-1.0
2016-04-20,-0.0029686982752698625,-0.006803656928241253,-1.0,-1.0
2016-04-21,-0.0044694949404886644,-0.0066831074655056,-1.0,-1.0
2016-04-22,0.0070145952484683615,-0.0077834222465753555,1.0,-1.0
2016-04-25,-0.0033948428703178967,-0.006539531983435154,-1.0,-1.0
2016-04-26,0.008044167988032225,-0.009271933697164059,1.0,-1.0
2016-04-27,0.008397999850631561,-0.010856806300580502,1.0,-1.0
2016-04-28,-0.009452829421965278,-0.00881783477962017,-1.0,-1.0
2016-04-29,-0.005927289395053262,-0.00771448016166687,-1.0,-1.0
2016-05-02,0.0036030498245738373,-0.010191608220338821,1.0,-1.0
2016-05-03,-0.016638671231121283,-0.012988205067813396,-1.0,-1.0
2016-05-04,-0.010161080185386081,-0.008419765159487724,-1.0,-1.0
2016-05-05,-0.005010450057550472,-0.008471166715025902,-1.0,-1.0
2016-05-06,0.008047911285973156,-0.002682024147361517,1.0,-1.0
2016-05-09,-0.012206026724137604,-0.0072915395721793175,-1.0,-1.0
2016-05-10,0.01652949568001008,-0.007693086750805378,1.0,-1.0
2016-05-11,-0.0034573721495463274,-0.008889852091670036,-1.0,-1.0
2016-05-12,0.004319667489071663,-0.0035211858339607716,1.0,-1.0
2016-05-13,-0.009745579936607917,-0.009139662608504295,-1.0,-1.0
2016-05-16,0.017046601560458702,-0.011459204368293285,1.0,-1.0
2016-05-17,-0.00514809863637684,-0.008281826041638851,-1.0,-1.0
2016-05-18,-0.015386598568844943,-0.003922957461327314,-1.0,-1.0
2016-05-19,0.0034880956447630894,-0.005950134247541428,1.0,-1.0
2016-05-20,0.007156059304058342,-0.0038754905108362436,1.0,-1.0
2016-05-23,0.011600607031813792,-0.005534514784812927,1.0,-1.0
2016-05-24,0.0065992573564163425,-0.006165528669953346,1.0,-1.0
2016-05-25,0.012231269739437861,-0.006948400288820267,1.0,-1.0
2016-05-26,-0.010747089806563604,-0.009047290310263634,-1.0,-1.0
2016-05-27,-0.00042386724037730587,-0.009350856766104698,-1.0,-1.0
2016-05-31,-0.005099965468527578,-0.006017046049237251,-1.0,-1.0
2016-06-01,0.0012774702078867202,-0.005305266007781029,1.0,-1.0
2016-06-02,0.005516647486101181,-0.009482530876994133,1.0,-1.0
2016-06-03,0.008428255482322799,-0.008953928016126156,1.0,-1.0
2016-06-06,0.010228732319168873,-0.004197202622890472,1.0,-1.0
2016-06-07,0.00041515889580652634,-0.009652740322053432,1.0,-1.0
2016-06-08,0.005796007011640818,-0.006855388171970844,1.0,-1.0
2016-06-09,-0.007250299810181291,-0.007123587653040886,-1.0,-1.0
2016-06-10,-0.007512429540935835,-0.007136983796954155,-1.0,-1.0
2016-06-13,-0.011163963114673894,-0.008167436346411705,-1.0,-1.0
2016-06-14,-0.007441268489621972,-0.007127405144274235,-1.0,-1.0
2016-06-15,0.004471463772783681,-0.004962833598256111,1.0,-1.0
2016-06-16,0.0033934026841284854,-0.0034325721208006144,1.0,-1.0
2016-06-17,0.004352759345306182,-0.005953595973551273,1.0,-1.0
2016-06-20,0.005703935983855585,-0.008395539596676826,1.0,-1.0
2016-06-21,-0.0027423082349498215,-0.007181946188211441,-1.0,-1.0
2016-06-22,0.00105574890573399,-0.004425613209605217,1.0,-1.0
2016-06-23,0.015286652663273998,-0.00960482470691204,1.0,-1.0
2016-06-24,-0.044621849555048394,-0.007736486382782459,-1.0,-1.0
2016-06-27,-0.03426124695582052,-0.007626545615494251,-1.0,-1.0
2016-06-28,0.008508739811316493,-0.012702430598437786,1.0,-1.0
2016-06-29,0.01680342847590246,-0.009582183323800564,1.0,-1.0
2016-06-30,0.01587852619966902,-0.0059402380138635635,1.0,-1.0
2016-07-01,0.0004314367029456211,-0.009136617183685303,1.0,-1.0
2016-07-05,-0.018285225252736917,-0.012215813621878624,-1.0,-1.0
2016-07-06,0.003946540993671192,-0.008851630613207817,1.0,-1.0
2016-07-07,0.002622356172310281,-0.010533198714256287,1.0,-1.0
2016-07-08,0.02457548278043352,-0.013048707507550716,1.0,-1.0
2016-07-11,0.004885892697932876,-0.010022232308983803,1.0,-1.0
2016-07-12,0.01806010752291264,-0.008573641069233418,1.0,-1.0
2016-07-13,0.002701862943987294,-0.014608187600970268,1.0,-1.0
2016-07-14,0.00888517874268003,-0.016711825504899025,1.0,-1.0
2016-07-15,0.0034912351275439156,-0.013002515770494938,1.0,-1.0
2016-07-18,0.006538570836041847,-0.008509946055710316,1.0,-1.0
2016-07-19,-0.00592374862219447,-0.013820882886648178,-1.0,-1.0
2016-07-20,0.0004096085850917906,-0.01313866674900055,1.0,-1.0
2016-07-21,-0.0061626395592812135,-0.008189858868718147,-1.0,-1.0
2016-07-22,0.002675069647058835,-0.006565789692103863,1.0,-1.0
2016-07-25,-0.0016452165511158397,-0.01536092720925808,-1.0,-1.0
2016-07-26,0.007587339740574355,-0.012394603341817856,1.0,-1.0
2016-07-27,0.001224937342454841,-0.011519580148160458,1.0,-1.0
2016-07-28,-0.0014292499991741907,-0.01089843362569809,-1.0,-1.0
2016-07-29,-0.005121451470551116,-0.012341148220002651,-1.0,-1.0
2016-08-01,-0.005560786471746512,-0.007623728364706039,-1.0,-1.0
2016-08-02,-0.002688283234831921,-0.01140130776911974,-1.0,-1.0
2016-08-03,0.00248173393574158,-0.014358184300363064,1.0,-1.0
2016-08-04,0.00412288069438815,-0.011663738638162613,1.0,-1.0
2016-08-05,0.003286189337767643,-0.007936380803585052,1.0,-1.0
2016-08-08,0.002048169785977195,-0.013909255154430866,1.0,-1.0
2016-08-09,-0.003073945692891723,-0.012898977845907211,-1.0,-1.0
2016-08-10,0.00020525620712502898,-0.009204885922372341,1.0,-1.0
2016-08-11,0.004300236909021742,-0.010460232384502888,1.0,-1.0
2016-08-12,-0.010682237942297581,-0.009445923380553722,-1.0,-1.0
2016-08-15,0.010069028429162852,-0.007971052080392838,1.0,-1.0
2016-08-16,-0.0053301314666163654,-0.01167931780219078,-1.0,-1.0
2016-08-17,-0.0008225655672486187,-0.010745402425527573,-1.0,-1.0
2016-08-18,0.006357051173633974,-0.011673926375806332,1.0,-1.0
2016-08-19,0.0014300224033426292,-0.010712383314967155,1.0,-1.0
2016-08-22,-0.0014300224033426045,-0.01190867368131876,-1.0,-1.0
2016-08-23,0.008548809482364588,-0.010952585376799107,1.0,-1.0
2016-08-24,-0.011619671318230943,-0.01120491698384285,-1.0,-1.0
2016-08-25,0.004908967208406344,-0.0078123221173882484,1.0,-1.0
2016-08-26,-0.005729486908195869,-0.009922177530825138,-1.0,-1.0
2016-08-29,0.008988815719828633,-0.011219375766813755,1.0,-1.0
2016-08-30,-0.0024436412271141832,-0.008293457329273224,-1.0,-1.0
2016-08-31,-0.010039829313270686,-0.010953223332762718,-1.0,-1.0
2016-09-01,0.00411010770419552,-0.010611907579004765,1.0,-1.0
2016-09-02,0.009999104211765227,-0.0047449637204408646,1.0,-1.0
2016-09-06,-0.0022361442518628034,-0.004230695776641369,-1.0,-1.0
2016-09-07,-0.0014254872288359181,-0.007681005634367466,-1.0,-1.0
2016-09-08,-0.004288736439376176,-0.009849587455391884,-1.0,-1.0
2016-09-09,-0.029493280169865802,-0.009082695469260216,-1.0,-1.0
2016-09-12,0.009440952214668128,-0.0074900053441524506,1.0,-1.0
2016-09-13,-0.018759117645731904,-0.0067602358758449554,-1.0,-1.0
2016-09-14,-0.002343144427296941,-0.005580013617873192,-1.0,-1.0
2016-09-15,0.006377582005338777,-0.009596562944352627,1.0,-1.0
2016-09-16,-0.004008065546659231,-0.010681173764169216,-1.0,-1.0
2016-09-19,0.0014959153166688027,-0.009446226060390472,1.0,-1.0
2016-09-20,-0.0029940499034000223,-0.006496057845652103,-1.0,-1.0
2016-09-21,0.015092240231764127,-0.006545844487845898,1.0,-1.0
2016-09-22,0.003159590225904077,-0.00560546200722456,1.0,-1.0
2016-09-23,-0.005060039540205182,-0.009608968161046505,-1.0,-1.0
2016-09-26,-0.004661127062515195,-0.009593228809535503,-1.0,-1.0
2016-09-27,0.002968655015645418,-0.008197220042347908,1.0,-1.0
2016-09-28,0.011368565094105615,-0.00813419558107853,1.0,-1.0
2016-09-29,-0.007775643732934849,-0.009825465269386768,-1.0,-1.0
2016-09-30,0.007356829460667547,-0.004809792153537273,1.0,-1.0
2016-10-03,-0.0012573679541336156,-0.008385076187551022,-1.0,-1.0
2016-10-04,-0.013723437558447323,-0.00776301696896553,-1.0,-1.0
2016-10-05,0.0067797801635414885,-0.005969757214188576,1.0,-1.0
2016-10-06,0.008201025349039558,-0.00571337528526783,1.0,-1.0
2016-10-07,-0.018814473241747936,-0.009457007981836796,-1.0,-1.0
2016-10-10,0.0059573395840362975,-0.004474773071706295,1.0,-1.0
2016-10-11,-0.013669510427659721,-0.006235215812921524,-1.0,-1.0
2016-10-12,-0.001937355568636809,-0.007058885879814625,-1.0,-1.0
2016-10-13,-0.005184809698620576,-0.006298251450061798,-1.0,-1.0
2016-10-14,0.0032436934965213936,-0.005243822932243347,1.0,-1.0
2016-10-17,0.0008631419647600922,-0.0073667364194989204,1.0,-1.0
2016-10-18,0.009018652865053328,-0.004474549554288387,1.0,-1.0
2016-10-19,0.007241839618328018,-0.008049555122852325,1.0,-1.0
2016-10-20,-0.0008492144313673562,-0.007367078214883804,-1.0,-1.0
2016-10-21,-0.00042486696893488955,-0.010396464727818966,-1.0,-1.0
2016-10-24,0.002334591710490727,-0.005357957445085049,1.0,-1.0
2016-10-25,-0.009157651908661767,-0.0050037698820233345,-1.0,-1.0
2016-10-26,-0.0014987977931743056,-0.004509175196290016,-1.0,-1.0
2016-10-27,-0.00128637416113201,-0.004404631443321705,-1.0,-1.0
2016-10-28,0.0025711175162680565,-0.004853340797126293,1.0,-1.0
2016-10-31,0.00042788852681710336,-0.0051408614963293076,1.0,-1.0
2016-11-01,-0.005792132404346721,-0.0067864153534173965,-1.0,-1.0
2016-11-02,-0.005393152186346505,-0.006895669735968113,-1.0,-1.0
2016-11-03,0.000216258995332516,-0.005419163964688778,1.0,-1.0
2016-11-04,0.0034542382148345526,-0.010006175376474857,1.0,-1.0
2016-11-07,0.015185788517104748,-0.006794331595301628,1.0,-1.0
2016-11-08,0.003179073983012638,-0.00526859425008297,1.0,-1.0
2016-11-09,0.020938680635293718,-0.005952433682978153,1.0,-1.0
2016-11-10,0.0115370165258548,-0.009517576545476913,1.0,-1.0
2016-11-11,-0.013818840200555682,-0.007778726518154144,-1.0,-1.0
2016-11-14,0.0022818236747009064,-0.007973205298185349,1.0,-1.0
2016-11-15,0.004135701517155358,-0.00518021872267127,1.0,-1.0
2016-11-16,-0.0018589251028470434,-0.004241207614541054,-1.0,-1.0
2016-11-17,0.00041353138073359447,-0.007108480669558048,1.0,-1.0
2016-11-18,-0.001447802538261352,-0.007899472489953041,-1.0,-1.0
2016-11-21,0.011727329561237168,-0.004914671182632446,1.0,-1.0
2016-11-22,0.006117490723461449,-0.0005243659252300858,1.0,-1.0
2016-11-23,0.004462434851596686,-0.0059082238003611565,1.0,-1.0
2016-11-25,0.0030313145097219745,-0.007650020532310009,1.0,-1.0
2016-11-28,-0.004043722327377537,-0.008372499607503414,-1.0,-1.0
2016-11-29,0.0010124078176556026,-0.008591330610215664,1.0,-1.0
2016-11-30,0.01066949874436258,-0.008912870660424232,1.0,-1.0
2016-12-01,0.0004003701787850729,-0.006755731999874115,1.0,-1.0
2016-12-02,0.0004003119841551853,-0.006700824946165085,1.0,-1.0
2016-12-05,0.00777284676055402,-0.009072267450392246,1.0,-1.0
2016-12-06,0.0011904066564458599,-0.011113524436950684,1.0,-1.0
2016-12-07,0.014176350235511526,-0.008356045000255108,1.0,-1.0
2016-12-08,0.0066251177799364624,-0.0050452593713998795,1.0,-1.0
2016-12-09,0.00019416903306200756,-0.007392833009362221,1.0,-1.0
2016-12-12,-0.004476031067826101,-0.008952023461461067,-1.0,-1.0
2016-12-13,-0.001561666511164378,-0.009130480699241161,-1.0,-1.0
2016-12-14,-0.011987845629284568,-0.010239179246127605,-1.0,-1.0
2016-12-15,0.006503127611180798,-0.008184058591723442,1.0,-1.0
2016-12-16,-0.003089330088285159,-0.009052310138940811,-1.0,-1.0
2016-12-19,-0.001985231536837042,-0.007678568363189697,-1.0,-1.0
2016-12-20,0.0007946380488562603,-0.010249056853353977,1.0,-1.0
2016-12-21,0.00039704213089872243,-0.009112211875617504,1.0,-1.0
2016-12-22,-0.0041770175352422185,-0.010090853087604046,-1.0,-1.0
2016-12-23,0.001991241699278508,-0.008954482153058052,1.0,-1.0
2016-12-27,0.005356650980882324,-0.01036303211003542,1.0,-1.0
2016-12-28,-0.010142369940332274,-0.00982982013374567,-1.0,-1.0
2016-12-29,0.0,-0.010447783395648003,0.0,-1.0
2016-12-30,-0.006617880750834289,-0.008594674058258533,-1.0,-1.0
