Date,030_QQQ_1d_actual_lnrts,030_QQQ_1d_forecast_lnrts,030_QQQ_1d_true_label,030_QQQ_1d_forecast_label
2016-01-06,-0.009652063886997011,0.0004095834447070956,-1.0,1.0
2016-01-07,-0.03181428384716488,-0.00010277063120156527,-1.0,-1.0
2016-01-08,-0.008234417975125929,0.0006655053002759814,-1.0,1.0
2016-01-11,0.0030719521324686977,-0.0007459294283762574,1.0,-1.0
2016-01-12,0.011531062381185444,-0.0025193383917212486,1.0,-1.0
2016-01-13,-0.035098087402318255,-0.0022264025174081326,-1.0,-1.0
2016-01-14,0.021071881651178213,0.0014344118535518646,1.0,1.0
2016-01-15,-0.03152876700126673,0.0005243555642664433,-1.0,1.0
2016-01-19,0.0021792466391884267,-0.0031227152794599533,1.0,-1.0
2016-01-20,-0.003072117596249843,-0.0011272378033027053,-1.0,-1.0
2016-01-21,0.000992174363687363,-4.1887396946549416e-06,1.0,-1.0
2016-01-22,0.028542528485290104,0.0009620676282793283,1.0,1.0
2016-01-25,-0.01495167109640525,0.0006473244866356254,-1.0,1.0
2016-01-26,0.00895900058890276,-0.0007957635680213571,1.0,-1.0
2016-01-27,-0.025230700727810536,-0.0003829064080491662,-1.0,-1.0
2016-01-28,0.01401932741280112,0.0015319454250857234,1.0,1.0
2016-01-29,0.02066723027437547,0.001164037617854774,1.0,1.0
2016-02-01,0.002685473635266272,-0.0009392359061166644,1.0,-1.0
2016-02-02,-0.02188310668783022,0.00010550918523222208,-1.0,1.0
2016-02-03,-0.004808437322992675,-0.0004875179147347808,-1.0,-1.0
2016-02-04,-9.850212768652791e-05,-0.00025067979004234076,-1.0,-1.0
2016-02-05,-0.03534421827852372,-0.0001494725001975894,-1.0,-1.0
2016-02-08,-0.01540540209414285,0.00105206947773695,-1.0,1.0
2016-02-09,-0.0031098819984623324,0.0022014554124325514,-1.0,1.0
2016-02-10,0.0038341281317664,-0.0021127494983375072,1.0,-1.0
2016-02-11,-0.0014491753707552059,-0.000632022856734693,-1.0,-1.0
2016-02-12,0.015110537515316255,-0.0006001548608765006,1.0,-1.0
2016-02-16,0.022296152670707697,-0.0005253186682239175,1.0,-1.0
2016-02-17,0.022395125785422437,-0.0020212875679135323,1.0,-1.0
2016-02-18,-0.011480268087391289,-0.0038235425017774105,-1.0,-1.0
2016-02-19,0.002956268926467255,0.00026302121113985777,1.0,1.0
2016-02-22,0.016104935311342765,-0.0011751266429200768,1.0,-1.0
2016-02-23,-0.0165970168971395,-0.00113853404764086,-1.0,-1.0
2016-02-24,0.009503816206059876,-0.0007506428519263864,1.0,-1.0
2016-02-25,0.009800510047301224,-0.0016017305897548795,1.0,-1.0
2016-02-26,-0.00125599101775352,-0.0019316520774737,-1.0,-1.0
2016-02-29,-0.009032254488886495,-0.00014290527906268835,-1.0,-1.0
2016-03-01,0.03159326738761618,-0.00233848812058568,1.0,-1.0
2016-03-02,0.0003780359832613798,-0.002075277268886566,1.0,-1.0
2016-03-03,-0.0018916010116303411,-0.0009855563985183835,-1.0,-1.0
2016-03-04,0.0003786084901562511,-0.0027977540157735348,1.0,-1.0
2016-03-07,-0.006170384980085882,-0.0022876085713505745,-1.0,-1.0
2016-03-08,-0.00831846306730357,-0.0016435399884358048,-1.0,-1.0
2016-03-09,0.00641232627694748,-0.0003691742895171046,1.0,-1.0
2016-03-10,-0.0015275823149536207,-0.0011089605977758765,-1.0,-1.0
2016-03-11,0.01733413593937795,-0.0017868337454274297,1.0,-1.0
2016-03-14,0.0016889007143572746,-0.001352212275378406,1.0,-1.0
2016-03-15,-0.0003752781088755589,0.0011468357406556606,-1.0,1.0
2016-03-16,0.008870113269087362,-0.0017196234548464417,1.0,-1.0
2016-03-17,-0.0005580597910308109,-0.0027100397273898125,-1.0,-1.0
2016-03-18,0.001566047624925192,-0.001427621697075665,1.0,-1.0
2016-03-21,0.00390398488407802,-0.0016803269973024726,1.0,-1.0
2016-03-22,0.0030568648771968562,-0.0013931841822341084,1.0,-1.0
2016-03-23,-0.008265594419387429,-0.0018549876986071467,-1.0,-1.0
2016-03-24,0.0002796442743526563,-0.00217269454151392,1.0,-1.0
2016-03-28,-0.0013995158626030474,-0.0016801158199086785,-1.0,-1.0
2016-03-29,0.01593081722412786,-0.0019244038267061114,1.0,-1.0
2016-03-30,0.004858158871208161,-0.0020418893545866013,1.0,-1.0
2016-03-31,-0.0014641832808903778,-0.0025061238557100296,-1.0,-1.0
2016-04-01,0.010566688892365448,-0.0018281798111274838,1.0,-1.0
2016-04-04,-0.003812971385008776,-0.003102306742221117,-1.0,-1.0
2016-04-05,-0.009688466035512254,-0.003255255054682493,-1.0,-1.0
2016-04-06,0.016306459050103018,-0.0017928703455254436,1.0,-1.0
2016-04-07,-0.014471079757468457,-7.054104935377836e-05,-1.0,-1.0
2016-04-08,-0.0007337773369679517,-0.00010279554408043623,-1.0,-1.0
2016-04-11,-0.003676470767044411,-0.0034941923804581165,-1.0,-1.0
2016-04-12,0.008344458609735272,-0.0006420378340408206,1.0,-1.0
2016-04-13,0.01270314670275232,-0.002732402179390192,1.0,-1.0
2016-04-14,9.02219626103362e-05,-0.00026663916651159525,1.0,-1.0
2016-04-15,-0.002527599441870468,-0.0014698106097057462,-1.0,-1.0
2016-04-18,0.005318479009349591,-0.0006628165720030665,1.0,-1.0
2016-04-19,-0.006132275444439455,-0.0015100991586223245,-1.0,-1.0
2016-04-20,0.0008137964350898237,-0.00022820348385721445,1.0,-1.0
2016-04-21,9.037790080225385e-05,-0.0006931762909516692,1.0,-1.0
2016-04-22,-0.015207700724078687,-0.0025183563120663166,-1.0,-1.0
2016-04-25,0.0,-0.00044494273606687784,0.0,-1.0
2016-04-26,-0.004875131080435061,-0.0016345592448487878,-1.0,-1.0
2016-04-27,-0.008054360085330628,-1.3865414075553417e-05,-1.0,-1.0
2016-04-28,-0.012157705539910694,-0.0017053604824468493,-1.0,-1.0
2016-04-29,-0.005283083080366616,-0.0012284362455829978,-1.0,-1.0
2016-05-02,0.00941451614323799,-0.000982144265435636,1.0,-1.0
2016-05-03,-0.009319942033816453,-0.0013971050502732396,-1.0,-1.0
2016-05-04,-0.006452158758985601,-1.8548802472651005e-05,-1.0,-1.0
2016-05-05,-0.00028567314305879757,6.461667362600565e-05,-1.0,1.0
2016-05-06,0.005318203328977186,-0.0006165023660287261,1.0,-1.0
2016-05-09,0.002837398071101608,-0.0016780629521235824,1.0,-1.0
2016-05-10,0.01360174116767509,-0.0008986933389678597,1.0,-1.0
2016-05-11,-0.009078604745243322,-0.00045273813884705305,-1.0,-1.0
2016-05-12,-0.0044287052267125634,-5.09974779561162e-05,-1.0,-1.0
2016-05-13,-0.0036900081250772297,0.0007240978302434087,-1.0,1.0
2016-05-16,0.012434281830004959,-0.00040828471537679434,1.0,-1.0
2016-05-17,-0.012623639686189129,-0.000803162925876677,-1.0,-1.0
2016-05-18,0.0035961031791042525,0.0006299102678894997,1.0,1.0
2016-05-19,-0.005209282639643535,0.001261832774616778,-1.0,1.0
2016-05-20,0.010954954054819667,-0.0007371505489572883,1.0,-1.0
2016-05-23,-0.0013157906804423165,-0.0016233952483162284,-1.0,-1.0
2016-05-24,0.01983388396331831,0.0006098434096202254,1.0,1.0
2016-05-25,0.007165990150428107,-0.0008719590259715915,1.0,-1.0
2016-05-26,0.0029249519642174327,-0.002477829810231924,1.0,-1.0
2016-05-27,0.0051891816136356,-0.001208533183671534,1.0,-1.0
2016-05-31,0.0019050507660702115,-0.0006058103172108531,1.0,-1.0
2016-06-01,9.061441284046507e-05,-0.0011405154364183545,1.0,-1.0
2016-06-02,0.0020820612763133026,-0.0009652915177866817,1.0,-1.0
2016-06-03,-0.0047135783972610335,-0.0007682674331590533,-1.0,-1.0
2016-06-06,0.003627862785283578,-0.0002160832518711686,1.0,-1.0
2016-06-07,-0.0025380651295604096,-2.191250678151846e-05,-1.0,-1.0
2016-06-08,0.0017229328599926092,0.00043009163346141577,1.0,1.0
2016-06-09,-0.0016321776533318394,0.00018934044055640697,-1.0,1.0
2016-06-10,-0.011408905091544042,8.620775770395994e-05,-1.0,1.0
2016-06-13,-0.008388236984342604,-0.0007308268686756492,-1.0,-1.0
2016-06-14,0.0,-0.0011885991552844644,0.0,-1.0
2016-06-15,-0.0028737435052975206,0.0005778438644483685,-1.0,1.0
2016-06-16,0.0029663048239246784,-0.0005083839641883969,1.0,-1.0
2016-06-17,-0.011790460687530655,-0.00012863159645348787,-1.0,-1.0
2016-06-20,0.006271989738612529,0.00012573960702866316,1.0,1.0
2016-06-21,0.0031676177522116595,-0.001571446075104177,1.0,-1.0
2016-06-22,-0.0024214999185899855,-0.0013734780950471759,-1.0,-1.0
2016-06-23,0.014166324760380579,-0.0009476587874814868,1.0,-1.0
2016-06-24,-0.04206007670071375,-0.001685334020294249,-1.0,-1.0
2016-06-27,-0.020048147465948,-0.0008517660899087787,-1.0,-1.0
2016-06-28,0.021676829115734052,-0.002173919230699539,1.0,-1.0
2016-06-29,0.01755510627469719,-0.002033714670687914,1.0,-1.0
2016-06-30,0.011503483213161568,-0.00012130115646868944,1.0,-1.0
2016-07-01,0.005008906582687045,-0.0020664073526859283,1.0,-1.0
2016-07-05,-0.00612537987149518,-0.002467702142894268,-1.0,-1.0
2016-07-06,0.008158885415416582,-0.0008123115403577685,1.0,-1.0
2016-07-07,0.0029503623115956987,-0.0024336022324860096,1.0,-1.0
2016-07-08,0.015348397726784924,-0.002078584861010313,1.0,-1.0
2016-07-11,0.005695341377610922,-0.0026132985949516296,1.0,-1.0
2016-07-12,0.005035540397194452,-0.0007437601452693343,1.0,-1.0
2016-07-13,-0.0024246152334764784,-0.0012161025078967214,-1.0,-1.0
2016-07-14,0.006810051177985395,-0.002445603720843792,1.0,-1.0
2016-07-15,-0.0016086355284161335,-0.001671781181357801,-1.0,-1.0
2016-07-18,0.00659707655569923,-2.2058258764445782e-05,1.0,-1.0
2016-07-19,-0.0036498627450371078,-0.0035216156393289566,-1.0,-1.0
2016-07-20,0.011615181068574709,-0.0026333420537412167,1.0,-1.0
2016-07-21,-0.002294567410899234,-0.0009855696698650718,-1.0,-1.0
2016-07-22,0.004144136979697855,-0.0005997008411213756,1.0,-1.0
2016-07-25,8.787535908698415e-05,-0.0023698355071246624,1.0,-1.0
2016-07-26,0.0011431279096919525,-0.00180863740388304,1.0,-1.0
2016-07-27,0.006918648489988293,-0.002559690736234188,1.0,-1.0
2016-07-28,0.0034849502024807905,-0.0020874403417110443,1.0,-1.0
2016-07-29,0.0021718756308689597,-0.003583592362701893,1.0,-1.0
2016-08-01,0.005279766014497704,-0.0016075203893706203,1.0,-1.0
2016-08-02,-0.007625523069048415,-0.0027239243499934673,-1.0,-1.0
2016-08-03,0.0032999398658911444,-0.0037049148231744766,1.0,-1.0
2016-08-04,0.002857018995797669,-0.003339783288538456,1.0,-1.0
2016-08-05,0.009550494667859594,-0.0012168394168838859,1.0,-1.0
2016-08-08,-0.0011137825490158393,-0.0025462759658694267,-1.0,-1.0
2016-08-09,0.002311820343724039,-0.003000773023813963,1.0,-1.0
2016-08-10,-0.0025689886199865503,-0.003187823109328747,-1.0,-1.0
2016-08-11,0.00427820751918079,-0.002681602258235216,1.0,-1.0
2016-08-12,0.0006828185621327138,-0.002552107907831669,1.0,-1.0
2016-08-15,0.004257020563448949,-0.0029111234471201897,1.0,-1.0
2016-08-16,-0.005537716183951041,-0.0030356794595718384,-1.0,-1.0
2016-08-17,0.0017925080627227284,-0.003575725946575403,1.0,-1.0
2016-08-18,0.0002557044314190577,-0.0020213089883327484,1.0,-1.0
2016-08-19,-0.0002557044314190523,-0.0019570267759263515,-1.0,-1.0
2016-08-22,0.0007671846973673623,-0.002228314056992531,1.0,-1.0
2016-08-23,0.0017879297541489303,-0.002225629985332489,1.0,-1.0
2016-08-24,-0.0064856916890064465,-0.002833911217749119,-1.0,-1.0
2016-08-25,-0.001628053735632626,-0.0018280731746926904,-1.0,-1.0
2016-08-26,0.0014567432748670063,-0.001417829073034227,1.0,-1.0
2016-08-29,0.0013692124270043788,-0.0011855325428768992,1.0,-1.0
2016-08-30,-0.003254915463066581,-0.0015525674680247903,-1.0,-1.0
2016-08-31,-0.0010299695802010406,-0.002711264416575432,-1.0,-1.0
2016-09-01,0.0025730243406682824,-0.0021171425469219685,1.0,-1.0
2016-09-02,0.003249904969497079,-0.0007844759384170175,1.0,-1.0
2016-09-06,0.006213535452728045,-0.0010162625694647431,1.0,-1.0
2016-09-07,0.0005938283002755247,-0.0017652461538091302,1.0,-1.0
2016-09-08,-0.005868571677691121,-0.0022117523476481438,-1.0,-1.0
2016-09-09,-0.02548629695841569,-0.0030976873822510242,-1.0,-1.0
2016-09-12,0.01777941983036975,-0.0014903080882504582,1.0,-1.0
2016-09-13,-0.008980378127010758,-0.001230125199072063,-1.0,-1.0
2016-09-14,0.004759276025341686,-0.0011946564773097634,1.0,-1.0
2016-09-15,0.015419265295403214,-0.001613879227079451,1.0,-1.0
2016-09-16,-0.00047730715274800034,-0.00271190470084548,-1.0,-1.0
2016-09-19,-0.004357764949640263,-0.0026909932494163513,-1.0,-1.0
2016-09-20,0.0018821332638297077,-0.0014566153986379504,1.0,-1.0
2016-09-21,0.009781177830236234,-0.001918078283779323,1.0,-1.0
2016-09-22,0.00792442191896219,-0.002004888840019703,1.0,-1.0
2016-09-23,-0.0064021376282291775,-0.002655839081853628,-1.0,-1.0
2016-09-26,-0.008401675494168401,-0.0010463810758665204,-1.0,-1.0
2016-09-27,0.009837253792875854,-0.002086777240037918,1.0,-1.0
2016-09-28,0.0016863214093053788,-0.0024041705764830112,1.0,-1.0
2016-09-29,-0.007271444574599995,-0.00210620928555727,-1.0,-1.0
2016-09-30,0.007439954447791737,-0.001288234838284552,1.0,-1.0
2016-10-03,-0.0014329672212527534,-0.0025695739313960075,-1.0,-1.0
2016-10-04,-0.0015194572125233861,-0.0009354437934234738,-1.0,-1.0
2016-10-05,0.003541857940842586,-0.001691792975179851,1.0,-1.0
2016-10-06,-0.0005051892176159172,-0.0025078882463276386,-1.0,-1.0
2016-10-07,-0.002192260704822295,-0.001793312723748386,-1.0,-1.0
2016-10-10,0.006310773173530067,-0.001522048027254641,1.0,-1.0
2016-10-11,-0.014362057098593652,-0.0008525504963472486,-1.0,-1.0
2016-10-12,-0.0008512455369015906,-0.000550326076336205,-1.0,-1.0
2016-10-13,-0.00358332582483694,-0.002559348940849304,-1.0,-1.0
2016-10-14,0.0011958950668452424,-0.001565721002407372,1.0,-1.0
2016-10-17,-0.0027354973856366567,-0.0015827504685148597,-1.0,-1.0
2016-10-18,0.00886319913224725,-0.0017084524733945727,1.0,-1.0
2016-10-19,-8.486617601956769e-05,-0.0012587212258949876,-1.0,-1.0
2016-10-20,-0.0011886173340173436,-0.0012338155647739768,-1.0,-1.0
2016-10-21,0.0037310645268172015,-0.00316669512540102,1.0,-1.0
2016-10-24,0.011946923726275843,-0.0014733531279489398,1.0,-1.0
2016-10-25,-0.0031831882975831205,-0.0023158900439739227,-1.0,-1.0
2016-10-26,-0.0068190408730797,-0.00209497706964612,-1.0,-1.0
2016-10-27,-0.004571955131467264,-0.0021697720512747765,-1.0,-1.0
2016-10-28,-0.00629955688565273,-0.002415222115814686,-1.0,-1.0
2016-10-31,-0.0009398503785382703,-0.0019235349027439952,-1.0,-1.0
2016-11-01,-0.0075503901453040905,-0.001260122167877853,-1.0,-1.0
2016-11-02,-0.008041853917972007,-0.00248055811971426,-1.0,-1.0
2016-11-03,-0.009859190110669314,-0.002614403609186411,-1.0,-1.0
2016-11-04,-0.0035134461269178087,-0.0021556974388659,-1.0,-1.0
2016-11-07,0.02347934686625326,-0.0013718066038563848,1.0,-1.0
2016-11-08,0.006510793516314309,-0.0024042101576924324,1.0,-1.0
2016-11-09,0.004600457614827334,-0.0029495847411453724,1.0,-1.0
2016-11-10,-0.01628141365943449,-0.0019474687287583947,-1.0,-1.0
2016-11-11,0.0004318235149465023,-0.0028086844831705093,1.0,-1.0
2016-11-14,-0.010155028330961937,-0.00222577853128314,-1.0,-1.0
2016-11-15,0.013775480734801246,-0.0003027740167453885,1.0,-1.0
2016-11-16,0.00591943542796481,-0.0006052752723917365,1.0,-1.0
2016-11-17,0.007244214052739079,-0.002405285369604826,1.0,-1.0
2016-11-18,-0.003743384375204489,-0.002337812911719084,-1.0,-1.0
2016-11-21,0.010345236862642814,-0.0017853466561064124,1.0,-1.0
2016-11-22,0.0030323288806225765,-0.0007318960269913077,1.0,-1.0
2016-11-23,-0.004045274206554576,-0.0021423506550490856,-1.0,-1.0
2016-11-25,0.003203853270721487,-0.0021388819441199303,1.0,-1.0
2016-11-28,-0.002275346913882207,-0.002013854216784239,-1.0,-1.0
2016-11-29,0.0034530650596115682,-0.0016273838700726628,1.0,-1.0
2016-11-30,-0.012180748396115871,-0.0018395207589492202,-1.0,-1.0
2016-12-01,-0.017427704179595285,-0.0016428938833996654,-1.0,-1.0
2016-12-02,0.001989977425676812,-0.0011108951875939965,1.0,-1.0
2016-12-05,0.007748618859125572,-0.0025358698330819607,1.0,-1.0
2016-12-06,0.0023985433665434587,-0.002794693224132061,1.0,-1.0
2016-12-07,0.012583041676936949,-0.0013856516452506185,1.0,-1.0
2016-12-08,0.0017726807871366011,-0.0016016577137634158,1.0,-1.0
2016-12-09,0.007812759980169011,-0.002349057700484991,1.0,-1.0
2016-12-12,-0.004528940209302752,-0.0027887923642992973,-1.0,-1.0
2016-12-13,0.012530391796623996,-0.0027816984802484512,1.0,-1.0
2016-12-14,-0.0020774680352263772,-0.002502355258911848,-1.0,-1.0
2016-12-15,0.0015792926607544804,-0.0021332744508981705,1.0,-1.0
2016-12-16,-0.0037138342713187553,-0.002699784468859434,-1.0,-1.0
2016-12-19,0.004088608525799692,-0.001537507283501327,1.0,-1.0
2016-12-20,0.003823174742103298,-0.0028631375171244144,1.0,-1.0
2016-12-21,-0.0007468941063345501,-0.0015959703596308827,-1.0,-1.0
2016-12-22,-0.002826483990929953,-0.002787034958600998,-1.0,-1.0
2016-12-23,0.0006657273327609873,-0.002160041593015194,1.0,-1.0
2016-12-27,0.005144808435159305,-0.002393102739006281,1.0,-1.0
2016-12-28,-0.007810582664749176,-0.002203434705734253,-1.0,-1.0
2016-12-29,-0.0014190851378661387,-0.0021338784135878086,-1.0,-1.0
2016-12-30,-0.010327891035834326,-0.0009959338931366801,-1.0,-1.0
